timestamp,cpu_percent,gpu_percent,memory_percent,mem_used_kb,mem_total_kb,disk_percent,cpu_temp_c,gpu_temp_c,top_pids,top_cpu_percent
2026-03-16 20:51:08,3.5,2.0,31.8,10214232,32149000,12.0,46.0,44.0,20025|20023|11269|11199|3625,100.0
2026-03-16 20:51:11,3.5,5.0,31.7,10198816,32149000,12.0,46.0,44.0,11269|11199|3625|11579|11141,38.1
2026-03-16 20:51:14,3.5,11.0,31.8,10209140,32149000,12.0,46.0,44.0,11269|11199|3625|11579|11141,38.1
2026-03-16 20:51:17,3.5,11.0,31.7,10197328,32149000,12.0,46.0,44.0,11269|11199|3625|11579|11141,38.1
2026-03-16 20:51:20,3.5,6.0,32.4,10402652,32149000,12.0,46.0,44.0,11269|11199|3625|11579|11141,38.1
2026-03-16 20:51:23,3.5,5.0,32.4,10411892,32149000,12.0,47.0,44.0,11269|11199|3625|11579|11141,38.2
2026-03-16 20:51:26,3.5,9.0,32.5,10448780,32149000,12.0,48.0,45.0,11269|11199|3625|11579|11141,38.2
2026-03-16 20:51:29,3.5,13.0,32.6,10481164,32149000,12.0,49.0,44.0,11269|11199|3625|20089|11579,38.2
2026-03-16 20:51:32,3.5,12.0,32.6,10465560,32149000,12.0,48.0,44.0,20105|11269|11199|3625|11579,100.0
2026-03-16 20:51:35,3.5,12.0,32.5,10452960,32149000,12.0,47.0,44.0,20108|11269|11199|3625|11579,100.0
2026-03-16 20:51:38,3.5,12.0,32.5,10457964,32149000,12.0,47.0,44.0,20110|11269|11199|3625|11579,100.0
2026-03-16 20:51:41,3.5,12.0,32.2,10356756,32149000,12.0,47.0,45.0,20113|11269|11199|3625|11579,100.0
2026-03-16 20:51:44,3.5,11.0,32.3,10370712,32149000,12.0,47.0,44.0,11269|11199|3625|11579|11141,38.2
2026-03-16 20:51:47,3.5,12.0,32.2,10362172,32149000,12.0,46.0,44.0,11269|11199|3625|11579|11141,38.2
2026-03-16 20:51:50,3.5,10.0,32.5,10461536,32149000,12.0,46.0,45.0,11269|11199|3625|11579|11141,38.2
2026-03-16 20:51:53,3.5,10.0,32.7,10503480,32149000,12.0,48.0,45.0,20152|11269|11199|3625|11579,100.0
2026-03-16 20:51:56,3.5,7.0,32.6,10482820,32149000,12.0,49.0,44.0,20154|11269|11199|3625|11579,100.0
